Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
,Волгоградская область ,Затонский,18650412,Строительство автомобильной дороги,"57692,1",2015,,,,,,,,,,,
,Волгоградская область ,Серковский,18654416116,Строительство автомобильной дороги,"130964,6",2015,,,,,,,,,,,
,Волгоградская область ,Рогачи,18606404,Строительство автомобильной дороги,"25380,6",2015,,,,,,,,,,,
,Волгоградская область ,Малый Орешкин,18720000,Строительство автомобильной дороги,"30238,4",2015,,,,,,,,,,,
https://vologda-oblast.ru/dokumenty/,Вологодская область,Фетинино,19620482271,спортивные сооружения,1400,2018,,,,,,,,,,,
,Вологодская область,кипелово,19620488,спортивные сооружения,1500,2015,,,,,,,,,,,
,Вологодская область,Стризнево,19620488,спортивные сооружения,1500,2014,,,,,,,,,,,
,Вологодская область,Севастьяново,19620454,спортивные сооружения,500,2015,,,,,,,,,,,
,Вологодская область,Надеево,19620468286,спортивные сооружения,2000,2015,,,,,,,,,,,
,Вологодская область,Майское,19620000,спортивные сооружения,"0,055",2016,,,,,,,,,,,
,Вологодская область,Спасское,19620484101,спортивные сооружения,"0,051",2016,,,,,,,,,,,
,Вологодская область,Старосельское,19620000,спортивные сооружения,"0,051",2016,,,,,,,,,,,
,Вологодская область,Сосновское,19620464,спортивные сооружения,"0,051",2016,,,,,,,,,,,
,Вологодская область,Сосновское,19620464,спортивные сооружения,"0,3532",2018,,,,,,,,,,,
,Вологодская область,Сосновское,19620464,спортивные сооружения,"0,051",2016,,,,,,,,,,,
,Вологодская область,Сосновское,19620464,спортивные сооружения,"2,8587",2018,,,,,,,,,,,
,Вологодская область,Кубенское,19620440101,спортивные сооружения,"2,8808",2018,,,,,,,,,,,
,Вологодская область,Семенковское,19620000,фельдшерско-акушерские пункты,"0,8",2018,,,,,,,,,,,
,Вологодская область,Семенковское,19620000,фельдшерско-акушерские пункты,"0,065",2018,,,,,,,,,,,
,Вологодская область,Грибково,19620468,фельдшерско-акушерские пункты,"0,8",2019,,,,,,,,,,,
https://poisk-ru.ru/s34952t12.html,Архангельская область,Ошевенское,11 618 428,общеобразовательные организации,,2017,,,,,,,,,,,
http://dvinanews.ru/-oushfg7s,Архангельская область,Шеговарское,11658444,Строительство автомобильной дороги,,2017,,,,,,,,,,,
,Архангельская область,Федорогорское,11658436,Строительство автомобильной дороги,,2017,,,,,,,,,,,
,Архангельская область,Федорогорское,11658436,Строительство автомобильной дороги,,2017,,,,,,,,,,,
,Архангельская область,Ильинское,11611412,учреждения культурно-досугового типа,,2016,,,,,,,,,,,
,Архангельская область,Горковское,11608420,общеобразовательные организации,,2016,,,,,,,,,,,
https://msh.astrobl.ru/,Астраханская область,Удаченский,12605440,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Астраханская область,сокрутовский,12605436,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Астраханская область,Седлистинский,12620432,фельдшерско-акушерские пункты,,2018,,,,,,,,,,,
,Астраханская область,Бузанский сельсовет,12630412,спортивные сооружения,,2017,,,,,,,,,,,
,Астраханская область,Басинский сельсовет,12635402101,спортивные сооружения,,2017,,,,,,,,,,,
,Астраханская область,Михайловский сельсовет,12645416,спортивные сооружения,,2017,,,,,,,,,,,
,Астраханская область,Табаробашмаковский,12642460,Строительство автомобильной дороги,,,,,,,,,,,,,
,Астраханская область,Цветновский,12610464101,учреждения культурно-досугового типа,,,,,,,,,,,,,
,Астраханская область,Волжский,12640412,учреждения культурно-досугового типа,,,,,,,,,,,,,
https://www.eao.ru/isp-vlast/upravlenie-selskogo-khozyaystva-pravitelstva/ustoychivoe-razvitie-selskikh-territoriy/,Еврейская автономная область,Камышовское,99630425,спортивные сооружения,,2015,,,,,,,,,,,
https://www.ya-fermer.ru/news/ustoychivoe-razvitie-selskih-territoriy-evreyskoy-avtonomnoy-oblasti,Еврейская автономная область,Камышовское,99630425,учреждения культурно-досугового типа,,2015,,,,,,,,,,,
,Еврейская автономная область,Ленинское,99610460,спортивные сооружения,,2017,,,,,,,,,,,
,Еврейская автономная область,Бирофельдское,99605405,спортивные сооружения,,2017,,,,,,,,,,,
,Еврейская автономная область,Птичнинское,99605445,спортивные сооружения,,2016,,,,,,,,,,,
,Еврейская автономная область,Валдгеймское,99605412,спортивные сооружения,,2016,,,,,,,,,,,
https://mcx.75.ru/gospodderzhka/gosprogrammy-zabaykal-skogo-kraya/129544-ustoychivoe-razvitie-sel-skih-territoriy,Забайкальский край,Шишкинское,76650490,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Забайкальский край,Нерчинско-Заводское,76630445,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Улётовское,76646450,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Мирсановское,76654425,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Нарасунское,76603440,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Алханай,76611404,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Мангутское,76624435,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Кактолгинское,76610418,спортивные сооружения,,2015,,,,,,,,,,,
,Забайкальский край,Акшинское,76603411,учреждения культурно-досугового типа,,2015,,,,,,,,,,,
,Забайкальский край,Олочинское,76630450,учреждения культурно-досугового типа,,2015,,,,,,,,,,,
,Забайкальский край,Мирсановское,76654425,учреждения культурно-досугового типа,,2015,,,,,,,,,,,
,Забайкальский край,Красночикойское,76622445,учреждения культурно-досугового типа,,2015,,,,,,,,,,,
,Забайкальский край,Хадактинское,76646455,общеобразовательные организации,,2016,,,,,,,,,,,
,Забайкальский край,Олинское,76628465,спортивные сооружения,,2016,,,,,,,,,,,
,Забайкальский край,Новоширокинское,76610433,спортивные сооружения,,2016,,,,,,,,,,,
,Забайкальский край,Узон,76611432,учреждения культурно-досугового типа,,2016,,,,,,,,,,,
,Забайкальский край,Укурикское,76647436,Строительство автомобильной дороги,,2016,,,,,,,,,,,
,Забайкальский край,к с. Ара-Булак (Хила),,Строительство автомобильной дороги,,2016,,,,,,,,,,,
,Забайкальский край,Утанское,76648470,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Нарын-Талачинское,76620440,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Нарасунское,76603440,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Алтанское,76624405,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Сохондинское,76650480,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
,Забайкальский край,Нарасунское,76603440,фельдшерско-акушерские пункты,,2017,,,,,,,,,,,
