,region_name,value,oktmo,in_program
2967,Алтайский край,4654.0,1641000,False
2973,Алтайский край,1052.0,1642411,False
2979,Алтайский край,408.0,1642415,False
2985,Алтайский край,1227.0,1642420,False
2991,Алтайский край,1095.0,1642429,False
2997,Алтайский край,689.0,1642435,False
3003,Алтайский край,675.0,1642440,False
3009,Алтайский край,1013.0,1642447,False
3015,Алтайский край,4971.0,1642452,False
3021,Алтайский край,467.0,1642457,False
3027,Алтайский край,1831.0,1642466,False
3033,Алтайский край,1098.0,1642471,False
3039,Алтайский край,1710.0,1642472,False
3046,Алтайский край,16236.0,1642000,False
3052,Алтайский край,879.0,1643407,False
3058,Алтайский край,462.0,1643423,False
3064,Алтайский край,441.0,1643434,False
3070,Алтайский край,904.0,1643445,False
3076,Алтайский край,4824.0,1643450,False
3082,Алтайский край,528.0,1643457,False
3088,Алтайский край,1062.0,1643470,False
3094,Алтайский край,749.0,1643481,False
3101,Алтайский край,9849.0,1643000,False
3107,Алтайский край,1384.0,1644424,False
3113,Алтайский край,606.0,1644436,False
3119,Алтайский край,1020.0,1644447,False
3125,Алтайский край,720.0,1644450,False
3131,Алтайский край,3247.0,1644481,False
3137,Алтайский край,942.0,1644492,False
3144,Алтайский край,7919.0,1644000,False
3150,Алтайский край,1290.0,1645410,False
3156,Алтайский край,707.0,1645420,False
3162,Алтайский край,607.0,1645423,False
3168,Алтайский край,1666.0,1645428,False
3174,Алтайский край,1640.0,1645430,False
3180,Алтайский край,1476.0,1645433,False
3186,Алтайский край,457.0,1645438,False
3192,Алтайский край,939.0,1645442,False
3198,Алтайский край,442.0,1645445,False
3203,Алтайский край,3782.0,1645460,False
3210,Алтайский край,13006.0,1645000,False
3216,Алтайский край,1995.0,1646407,False
3222,Алтайский край,455.0,1646409,False
3225,Алтайский край,767.0,1646422,False
3231,Алтайский край,635.0,1646440,False
3237,Алтайский край,1265.0,1646455,False
3243,Алтайский край,4534.0,1646466,False
3250,Алтайский край,9651.0,1646000,False
3256,Алтайский край,19104.0,1647151,False
3262,Алтайский край,1482.0,1647406,False
3268,Алтайский край,698.0,1647415,False
3274,Алтайский край,327.0,1647424,False
3280,Алтайский край,1291.0,1647430,False
3286,Алтайский край,1079.0,1647436,False
3292,Алтайский край,2565.0,1647442,False
3298,Алтайский край,1988.0,1647448,False
3304,Алтайский край,581.0,1647451,False
3310,Алтайский край,5021.0,1647456,False
3316,Алтайский край,1991.0,1647459,False
3322,Алтайский край,913.0,1647462,False
3328,Алтайский край,5257.0,1647466,False
3334,Алтайский край,278.0,1647470,False
3340,Алтайский край,2035.0,1647473,False
3346,Алтайский край,596.0,1647475,False
3352,Алтайский край,595.0,1647482,False
3358,Алтайский край,739.0,1647492,False
3365,Алтайский край,46540.0,1647000,False
3371,Алтайский край,1805.0,1648406,False
3377,Алтайский край,365.0,1648430,False
3383,Алтайский край,1129.0,1648436,False
3389,Алтайский край,4524.0,1648446,False
3395,Алтайский край,195.0,1648457,False
3402,Алтайский край,8018.0,1648000,False
3408,Алтайский край,699.0,1649403,False
3414,Алтайский край,767.0,1649407,False
3420,Алтайский край,467.0,1649409,False
3426,Алтайский край,1430.0,1649412,False
3432,Алтайский край,535.0,1649420,False
3438,Алтайский край,371.0,1649424,False
3444,Алтайский край,701.0,1649436,False
3450,Алтайский край,1957.0,1649447,False
