регион,название ,2014   ,2013   ,октмо
Воронежская область,щученское,1133,1113,
Воронежская область,андреевское,392,377,
Воронежская область,верхнетуровское,1418,1403,
Воронежская область,вязноватовское,1061,1041,
Воронежская область,курбатовское,2147,2130,
Воронежская область,кучугуровское,1311,1258,
Воронежская область,михневское,493,496,
Воронежская область,нижнедевицкое,5898,5811,
Воронежская область,нижнетуровское,500,482,
Воронежская область,новоольшанское,1324,1299,
Воронежская область,норово-ротаевское,837,810,
Воронежская область,острянское,617,586,
Воронежская область,першинское,928,915,
Воронежская область,синелипяговское,1821,1745,
Воронежская область,скупопотуданское,307,299,
Воронежская область,хвощеватовское,778,756,
Воронежская область,бабяковское,4335,4404,
Воронежская область,воленское,8019,8131,
Воронежская область,нижнекатуховское,734,737,
Воронежская область,никольское,4185,4179,
Воронежская область,орловское,5328,5390,
Воронежская область,отрадненское,5954,6550,
Воронежская область,рогачёвское,2440,2466,
Воронежская область,рождественско-хавское,2820,2842,
Воронежская область,воронежское,1883,1870,
Воронежская область,тимирязевское,2653,2626,
Воронежская область,трудовское,780,764,
Воронежская область,усманское 1-е,13361,13457,
Воронежская область,усманское 2-е,18055,18431,
Воронежская область,хлебенское,1003,997,
Воронежская область,хреновское,1984,2063,
Воронежская область,шуберское,2290,2341,
Воронежская область,коленовское,6193,6076,
Воронежская область,краснянское,3207,3191,
Воронежская область,михайловское,1025,989,
Воронежская область,новопокровское,1471,1448,
Воронежская область,пыховское,1243,1224,
Воронежская область,терновское,927,888,
Воронежская область,троицкое,1906,1859,
Воронежская область,центральское,859,840,
Воронежская область,ярковское,1720,1691,
Воронежская область,ольховатское городское,3879,13214,
Воронежская область,караяшниковское,1235,2032,
Воронежская область,копанянское,686,670,
Воронежская область,лисичанское,1028,992,
Воронежская область,марьевское,1882,2874,
Воронежская область,новохарьковское,985,953,
Воронежская область,степнянское,1047,1030,
Воронежская область,шапошниковское,1843,1846,
Воронежская область,берёзовское,557,546,
Воронежская область,болдыревское,705,670,
Воронежская область,веретьевское,1172,1182,
Воронежская область,гниловское,3966,3963,
Воронежская область,дальнеполубянское,520,493,
Воронежская область,девицкое,791,758,
Воронежская область,коротоякское,3849,3800,
Воронежская область,кривополянское,511,494,41615464
Воронежская область,криниченское,2232,2234,
Воронежская область,мастюгинское,771,743,
Воронежская область,ольшанское,1275,1266,
Воронежская область,петренковское,973,976,
Воронежская область,петропавловское,684,689,
Воронежская область,солдатское,940,936,
Воронежская область,сторожевское 1-е,793,784,
Воронежская область,терновское,807,792,
Воронежская область,урывское,1857,1827,
Воронежская область,хохол-тростянское,602,589,
Воронежская область,шубинское,2515,2485,
Воронежская область,александровское,1366,1345,
Воронежская область,александро-донское,3094,3136,
Воронежская область,воронцовское,5342,5349,
Воронежская область,гаврильское,1550,1539,
Воронежская область,елизаветовское,2038,2024,
Воронежская область,ерышевское,956,916,
Воронежская область,казинское,1902,1861,
Воронежская область,красное,1902,1857,
Воронежская область,ливенское,992,995,
Воронежская область,лосевское,4374,4377,
Воронежская область,песковское,978,922,
Воронежская область,петровское,2549,2555,
Воронежская область,покровское,1644,1612,
Воронежская область,русско-буйловское,2633,2613,
Воронежская область,борщёвское,528,498,
Воронежская область,дмитриевское,832,810,
Воронежская область,ивановское,994,951,
Воронежская область,красненское,4566,4489,
Воронежская область,краснолиманское,1713,1689,
Воронежская область,красноновское,186,174,
Воронежская область,криушанское,742,713,
Воронежская область,мартыновское,1357,1322,
Воронежская область,михайловское,1263,1215,
Воронежская область,октябрьское,1613,1559,
Воронежская область,прогрессовское,891,886,
